"Provincia","Canton","SquareMetersConstruction","SquareMetersTerrain","Price"
"San José","Escazú",185,195,197500
"San José","San José",68,8,179000
"Heredia","San Pablo",160,211,144400
"San José","Montes de Oca",84,0,123000
"Cartago","Cartago",314,207,150100
"Heredia","Heredia",78,0,82000
"San José","Escazú",120,100,110000
"San José","Montes de Oca",220,360,259000
"San José","Montes de Oca",140,0,1000
"Cartago","La Unión",120,150,66500
"San José","Curridabat",270,330,228000
"Heredia","Heredia",85,0,166000
"San José","Montes de Oca",75,54,75000
"Puntarenas","Puntarenas",131,272,28355.1611
"Heredia","Barva",220,180,228000
"Guanacaste","Santa Cruz",66,72,57170.734
"Heredia","Heredia",70,100,120000
"Heredia","Belén",81,96,125000
"San José","Tibás",120,120,106400
"San José","Curridabat",0,0,180000
"San José","Curridabat",98,98,113000
"San José","San José",194,0,3e+05
"San José","Curridabat",97,97,185000
"Heredia","San Pablo",0,0,203300
"San José","Escazú",180,0,295000
"San José","Escazú",167,0,295000
"San José","Santa Ana",77,0,130000
"Alajuela","San Carlos",1000,1000,650000
"San José","San José",70,70,83600
"San José","Santa Ana",70,620,102000
"San José","San José",105,105,112000
"Heredia","Heredia",300,296,170050
"San José","Curridabat",0,215,310000
"San José","Escazú",156,0,260000
"San José","San José",95,0,130000
"Heredia","San Rafael",103,131,195000
"San José","Goicoechea",0,0,115000
"San José","San José",230,184,684
"San José","San José",94,0,230000
"Heredia","Flores",87,221,131100
"San José","San José",74,92,218155
"Heredia","Belén",75,115,145000
"San José","Escazú",90,105,159000
"Cartago","La Unión",70,0,90000
"Heredia","Heredia",145,165,114000
"San José","San José",92,92,129500
"San José","Santa Ana",144,0,155000
"Alajuela","Grecia",0,0,240000
"San José","Vásquez de Coronado",0,337.36,114000
"San José","San José",0,0,128000
"Alajuela","Alajuela",210,186.5,228000
"San José","Santa Ana",88,122,160000
"San José","Desamparados",42,42,72222
"San José","Desamparados",42,42,74100
"Heredia","Belén",190,380,285000
"Alajuela","Alajuela",135,135,95000
"Alajuela","Alajuela",130,210,110200
"San José","San José",400,375,370000
"San José","San José",181,181,85500
"San José","Curridabat",200,300,178000
"Alajuela","Alajuela",120,160,114000
"Alajuela","Alajuela",78,233,81700
"San José","San José",219,353,150000
"Heredia","Heredia",235,310,329000
"Heredia","Heredia",140,140,110000
"San José","Curridabat",240,190,230000
"San José","San José",275,300,179000
"Cartago","El Guarco",130,160,132000
"Heredia","Santo Domingo",235,225,161500
"Heredia","San Isidro",194,344,2e+05
"Heredia","Santo Domingo",325,415,342000
"Heredia","San Pablo",70,140,127300
"Cartago","Cartago",65,171,89300
"San José","Desamparados",183,0,57000
"San José","Aserrí",0,0,152000
"Cartago","Paraíso",90,277,93100
"San José","Curridabat",220,0,270000
"San José","San José",87,137,95000
"Cartago","La Unión",180,600,260000
"San José","San José",300,372,240000
"Cartago","La Unión",135,135,120000
"Cartago","La Unión",150,292,900
"San José","Goicoechea",112,112,81700
"San José","Moravia",103,163,120000
"Heredia","San Pablo",200,145,185000
"Heredia","Heredia",110,164,125000
"Heredia","Heredia",100,165,129200
"Heredia","Santo Domingo",254,265,265000
"San José","Escazú",325,411,3e+05
"Heredia","Heredia",275,175,169100
"Heredia","Heredia",140,126,135000
"Heredia","Heredia",186,126,112100
"Heredia","Heredia",135,199,155000
"Heredia","Barva",280,420,360000
"Heredia","Heredia",136,176,140000
"Heredia","Belén",200,786,329000
"Heredia","Heredia",120,150,100700
"Alajuela","Alajuela",144,983,247000
"Cartago","La Unión",60,220,76000
"Heredia","Santo Domingo",170,386,290000
"Heredia","Heredia",115,120,93100
"San José","Curridabat",110,160,102600
"San José","San José",0,0,NA
"Heredia","San Pablo",0,0,133000
"San José","Santa Ana",110,170,1100
"Cartago","La Unión",350,495,350000
"San José","Tibás",260,312,161500
"San José","Vásquez de Coronado",250,203,176700
"Heredia","Santo Domingo",200,498,119700
"San José","San José",160,202,152000
"San José","Pérez Zeledón",0,0,1300000
"San José","Escazú",0,0,280000
"San José","San José",200,200,205200
"San José","San José",0,0,NA
"San José","San José",0,0,NA
"San José","Desamparados",0,354,47500
"San José","San José",0,0,NA
"Heredia","Heredia",0,0,91200
"San José","Montes de Oca",0,0,NA
"San José","Moravia",65,160,8360000
"San José","San José",0,0,NA
"Heredia","Heredia",43.75,0,116000
"Cartago","La Unión",240,200,161500
"Heredia","Heredia",120,149,94810
"San José","Desamparados",150,150,66481
"San José","Desamparados",110,110,89205
"San José","San José",220,220,132810
"Cartago","La Unión",220,0,189500
"Guanacaste","Cañas",240,312,114000
"Heredia","Barva",203,160,114000
"Alajuela","Alajuela",0,0,114000
"San José","San José",0,0,104500
"San José","Santa Ana",235,170,285000
"Cartago","Cartago",0,0,NA
"Cartago","Cartago",115,133,91010
"Alajuela","Poás",110,156,88350
"San José","San José",165,165,83410
"San José","San José",0,278,NA
"Alajuela","Alajuela",170,214,178000
"Alajuela","Palmares",152,358,75810
"Alajuela","San Ramón",64,210,32870
"San José","San José",229,229,138510
"Cartago","Cartago",175,175,152000
"Guanacaste","Liberia",122,237,64410
"Limón","Limón",134,194,93100
"San José","Goicoechea",178,178,112100
"San José","San José",0,0,NA
"San José","San José",0,0,NA
"Limón","Guácimo",70,420,34200
"San José","San José",0,0,NA
"San José","Goicoechea",100,125,133000
"Cartago","Cartago",179,179,115000
"Limón","Pococí",78,220,23750
"San José","Moravia",235,277,175000
"Cartago","Paraíso",90,227,98800
"Limón","Limón",89,89,33250
"San José","Curridabat",220,250,190000
"San José","Curridabat",0,97.51,114000
"San José","Escazú",200,363,363000
"Heredia","Heredia",252,390,395000
"San José","Mora",0,0,NA
"San José","Vásquez de Coronado",198,208,123500
"San José","Escazú",220,232,265000
"San José","Goicoechea",400,240,332500
"Heredia","Santo Domingo",220,6935,275500
"San José","Escazú",663,5.35,6e+05
"Heredia","Belén",0,194,140000
"Heredia","Santo Domingo",190,242,250000
"Alajuela","Alajuela",185,507,220000
"Heredia","San Rafael",290,1351,286000
"Heredia","Heredia",135,199,155000
"Heredia","Heredia",90,0,104000
"Alajuela","Alajuela",391,391,325000
"San José","Goicoechea",200,333,205200
"Heredia","Heredia",180,224,190000
"Alajuela","Alajuela",180,200,144400
"Cartago","La Unión",505,5500,765000
"San José","Santa Ana",540,1300,8e+05
"San José","Escazú",200,0,230000
"San José","Escazú",200,450,230000
"San José","Santa Ana",450,650,650000
"San José","San José",300,450,285000
"San José","Escazú",200,0,210000
"San José","Santa Ana",483,705,910000
"Cartago","Paraíso",0,0,32300
"Heredia","Flores",190,210,205000
"Heredia","Heredia",218,248,265000
"Heredia","Heredia",130,140,142000
"San José","San José",230,150,2e+05
"Heredia","Heredia",0,0,136800
"Cartago","La Unión",315,236,315000
"Cartago","La Unión",195,204,167000
"Cartago","La Unión",152,183,123500
"San José","Moravia",0,175,190000
"Cartago","La Unión",135,152,137000
"Heredia","San Pablo",185,230,220000
"Heredia","Belén",186,100,220000
"San José","Escazú",250,568,280000
"Heredia","Heredia",0,0,NA
"Cartago","La Unión",129,129,125400
"San José","Goicoechea",0,0,104500
"San José","Santa Ana",235,642,385000
"Guanacaste","Tilarán",100,300,57000
"Guanacaste","Liberia",140,300,190000
"Limón","Siquirres",140,300,23750
"Limón","Limón",140,300,93100
"Guanacaste","Liberia",200,300,64410
"Limón","Guácimo",140,300,34200
"Cartago","El Guarco",200,300,100700
"Alajuela","San Ramón",100,300,34200
"San José","Desamparados",200,300,83410
"San José","Escazú",400,800,365000
"Alajuela","Alajuela",200,300,91010
"Heredia","San Pablo",125,150,130000
"San José","Alajuelita",140,200,118940
"San José","San José",0,0,NA
"Heredia","San Rafael",350,400,161500
"Heredia","Barva",230,600,174800
"Puntarenas","Golfito",400,180000,6e+05
"Puntarenas","Puntarenas",150,250,66500
"Heredia","Heredia",165,170,140000
"Alajuela","Orotina",300,7000,365000
"Heredia","Heredia",168,170,155000
"San José","Escazú",350,1400,450000
"Alajuela","Grecia",220,600,304000
"Alajuela","Alajuela",1200,3500,950000
"Alajuela","Grecia",160,230,130000
"Alajuela","Orotina",85,417,85500
"Heredia","Heredia",185,240,220000
"San José","San José",0,0,NA
"Cartago","Turrialba",215,509,230000
"Heredia","San Rafael",357,432,340000
"Alajuela","Alajuela",235,135,180500
"Heredia","Heredia",0,0,104500
"Heredia","Heredia",0,0,169100
"Heredia","Barva",0,0,136800
"Guanacaste","Liberia",150,642,89300
"Heredia","San Pablo",0,0,160550
"Heredia","Santo Domingo",0,200,161500
"Heredia","Barva",120,225,130000
"Alajuela","Alajuela",117,195,119700
"Heredia","Heredia",160,160,0.0019
"San José","Santa Ana",212,210,210000
"Alajuela","Alajuela",215,250,117800
"San José","Goicoechea",350,0,302100
"Guanacaste","Nicoya",110,1247,141292.3733
"Alajuela","Grecia",192,284,179500
"Heredia","Heredia",0,0,NA
"San José","San José",129,157,2e+05
"Cartago","La Unión",160,150,150000
"Heredia","Belén",330,350,320000
"Alajuela","Alajuela",135,1176,228000
"Cartago","Cartago",100,160,60800
"Alajuela","Alajuela",132,132,79800
"Cartago","Cartago",135,141,117000
"Alajuela","Alajuela",185,250,142500
"Alajuela","Alajuela",95,143,95000
"San José","San José",1300,1194,1700000
"San José","Escazú",300,450,390000
"San José","Santa Ana",420,1291,349000
"San José","Santa Ana",483,718,910000
"San José","Santa Ana",400,1500,480000
"San José","Aserrí",200,204,114000
"San José","Santa Ana",617,417,780000
"San José","Aserrí",210,210,117800
"San José","Santa Ana",150,350,235000
"San José","San José",300,0,250000
"Cartago","Cartago",139,110,83410
"San José","Alajuelita",123,123,35150
"Cartago","Cartago",103,150,70110
"San José","Santa Ana",450,450,779000
"San José","Moravia",310,445,245000
"San José","Moravia",101.7,167,91200
"San José","Moravia",70,174,1e+05
"San José","San José",145,251.6,155000
"Puntarenas","Puntarenas",280,390,245000
"Cartago","Cartago",1,1,494
"San José","Montes de Oca",170,180,198000
"San José","San José",300,338,270000
"Heredia","Santo Domingo",600,5000,725000
"San José","San José",208,208,195000
"San José","San José",140,140,127300
"Heredia","San Isidro",328,1232,350000
"San José","San José",0,0,NA
"Puntarenas","Esparza",220,7001,330000
"San José","Vásquez de Coronado",215,120,104500
"San José","San José",0,0,NA
"Alajuela","Grecia",65,747,76000
"Cartago","La Unión",0,0,NA
"San José","Montes de Oca",370,1800,410000
"San José","San José",0,0,2.7e+07
"San José","San José",400,544,365000
"Heredia","Barva",160,179,133000
"Heredia","San Pablo",130,150,175000
"Heredia","Flores",305,695,4e+05
"San José","Escazú",600,2240,695000
"Heredia","Heredia",130,140,142000
"Alajuela","Atenas",147.47,14747,47500
"San José","Montes de Oca",375,425,275000
"Alajuela","Alajuela",175,282,210000
"Heredia","San Rafael",254,417,255000
"Heredia","Heredia",158,170,155000
"Heredia","Heredia",175,164,175000
"Limón","Pococí",78,220,23750
"San José","Desamparados",90,56,96900
"San José","Desamparados",135,192,128000
"Limón","Limón",89,89,33250
"Limón","Limón",70,420,34200
"Limón","Limón",134,194,93100
"Heredia","Heredia",167,0,125000
"Cartago","La Unión",190,0,170000
"Puntarenas","Puntarenas",160,240,55100
"San José","Moravia",300,350,250000
"Heredia","Heredia",0,0,47500
"San José","San José",190,90,92910
"San José","Curridabat",250,300,273410
"San José","Curridabat",230,0,250000
"Alajuela","Alajuela",417,417,218500
"San José","San José",229,229,138510
"Alajuela","Alajuela",175,240,133000
"Alajuela","Alajuela",143,160,156750
"Guanacaste","Liberia",122,237,64410
"Heredia","Santa Bárbara",170,200,161500
"Cartago","Cartago",115,133,91010
"San José","San José",0,0,NA
"San José","San José",511,485,350000
"San José","Goicoechea",160,180,135000
"Heredia","Heredia",120,175,104500
"Heredia","Barva",0,0,139650
"Heredia","Heredia",160,175,205000
"Heredia","Heredia",0,0,169100
"San José","San José",0,0,85500
"Heredia","Heredia",0,0,104500
"San José","Goicoechea",150,130,112100
"Heredia","San Pablo",0,0,160550
"Heredia","Santo Domingo",0,0,164350
"San José","Vásquez de Coronado",200,1251,425000
"San José","Santa Ana",516,821,950000
"Heredia","Heredia",120,127,131100
"Heredia","Santa Bárbara",180,10819,350000
"Alajuela","Alajuela",0,0,175000
"Alajuela","San Carlos",185,327,115000
"San José","San José",165,165,83410
"Heredia","Santo Domingo",350,502,350000
"Alajuela","San Ramón",64,210,32870
"San José","Escazú",345,360,355000
"Cartago","Paraíso",90,277,93100
"San José","Montes de Oca",300,425,323000
"San José","Curridabat",200,270,280000
"Puntarenas","Garabito",650,1335,1600000
"San José","Escazú",140,250,219000
"Heredia","San Rafael",275,1320,375000
"Alajuela","Atenas",360,510,585000
"San José","San José",250,450,290000
"San José","Escazú",200,350,230000
"Cartago","El Guarco",160,224,148200
"San José","Escazú",280,450,280000
"San José","Escazú",280,450,280000
"San José","Escazú",360,1000,445000
"San José","Escazú",200,450,230000
"Cartago","Cartago",103,150,70110
"San José","Alajuelita",123,123,35150
"San José","Goicoechea",701,195,123500
"San José","San José",140,140,127300
"San José","Desamparados",140,140,127300
"Alajuela","San Ramón",120,519,125000
"Alajuela","Alajuela",137,175,142000
"San José","Curridabat",175,296,205000
"Heredia","Barva",220,250,161500
"Heredia","Sarapiquí",120,990,41800
"Alajuela","Alajuela",180,250,131100
"San José","Desamparados",205,225,171000
"Alajuela","Alajuela",0,0,57000
"San José","San José",202,212,243200
"Alajuela","Alajuela",90,100,55100
"Alajuela","Alajuela",180,250,131100
"Limón","Limón",140,300,93100
"Guanacaste","Liberia",200,300,64410
"San José","San José",0,0,NA
"Alajuela","San Ramón",100,300,34200
"San José","San José",0,0,NA
"San José","Alajuelita",140,300,118940
"Alajuela","Alajuela",220,300,91010
"San José","Goicoechea",160,180,133000
"San José","Desamparados",120,120,79800
"Heredia","Heredia",110,170,132050
"Heredia","Heredia",0,0,NA
"Heredia","Heredia",164,150,198000
"Heredia","Belén",129,180,153000
"Alajuela","Atenas",650,7000,7e+05
"San José","Santa Ana",345,200,355000
"Heredia","Heredia",135,183,160000
"Alajuela","Alajuela",140,160,114000
"San José","Desamparados",215,160,152000
"San José","Escazú",950,1010,850000
"San José","Desamparados",144,144,95000
"San José","Desamparados",200,242,119700
"Heredia","Flores",160,221,131100
"Guanacaste","Carrillo",56,850,10830000
